Number,1st_Author,Year,Institution,Species_focus,Location_focus,Subtype,Type,Main_subject
1,"Dawson, E.Y.,",1960,,K,Baja,Primaria,Primaria,Biology/Ecology
2,"Guzman del Proo, S.A.,",1971,,K,Baja,Primaria,Primaria,Biology/Ecology
3,"Hernandez Carmona, G.",1987,,K,Baja,Primaria,Primaria,Biology/Ecology
4,Hernandez-Carmona G.,1989,CICIMAR,K,Baja,Primaria,Primaria,Biology/Ecology
5,Lynn RJ,1998,NOAA,K,CB,Gris,Gris,Oceanography
6,Shepherd SA,1999,S Australian Res Dev Inst,K,Baja,Gris,Gris,Fisheries
7,Hayward TL,1999,Scripps,K,CB,Gris,Gris,Oceanography
8,Ladah LB,1999,UABC,K,Baja,Primaria,Primaria,Biology/Ecology
9,Hernandez-Carmona G,2000,CICIMAR,K,Baja,Primaria,Primaria,Biology/Ecology
10,Ladah LB,2003,CICESE,K,Baja,Primaria,Primaria,Biology/Ecology
11,Ladah LB,2004,CICESE,K,Baja,Primaria,Primaria,Biology/Ecology
12,Edwards MS,2004,SDSU,K,CB,Primaria,Primaria,Oceanography
13,Edwards MS,2006,SDSU,K,CB,Primaria,Primaria,Oceanography
14,Hamilton SL,2007,UCSB,A,CB,Primaria,Primaria,Biology/Ecology
15,Carney LT,2010,Scripps,K,CB,Primaria,Primaria,Oceanography
16,Caselle JE,2011,UCSB,A,CB,Primaria,Primaria,Biology/Ecology
17,Calderon-Aguilera LE,2012,CICESE,E,Baja,Primaria,Primaria,Conservation
18,Mazariegos-Villareal A,2012,CIBNOR,K,Baja,Primaria,Primaria,Biology/Ecology
19,Torres-Moye G,2013,UABC,E,CB,Primaria,Primaria,Biology/Ecology
20,Beas-Luna R,2014,CICESE,K,Baja,Primaria,Primaria,Biology/Ecology
21,Pinon-Gimate A,2016,CIBNOR,A,Baja,Primaria,Primaria,Biology/Ecology
22,Chavez-Hidalgo A,2016,CICIMAR,A,Baja,Primaria,Primaria,Fisheries
23,Paz-Lacavex,2018,UABC,K,Baja,Tesis,Gris,Climate Change
24,Ramirez-Valdez A,2017,Scripps,K,CB,Gris,Gris,Biology/Ecology
25,Gomez-Gomez A,2015,CICESE,K,Baja,Tesis,Gris,Biology/Ecology
26,Hernandez-Gonzalez,2016,UABC,E,CB,Tesis,Gris,Biology/Ecology
27,Frias-Galeote,2013,UABC,K,Baja,Tesis,Gris,Socioecological systems
28,Sgarlatta,2015,CICESE,A,Baja,Tesis,Gris,Biology/Ecology
29,Suarez-Castillo AN,2013,UABCS,k,Baja,Gris,Gris,Biology/Ecology
30,Moreno-Mendoza RJ,2016,CICESE,K,Baja,Gris,Gris,Biology/Ecology
31,Nuche-Pascual,2012,CICESE,A,Baja,Tesis,Gris,Biology/Ecology
32,Cruz-Trejo GI,2012,CICESE,K,Baja,Tesis,Gris,Biology/Ecology
33,Hernandez-Velasco A,2018,COBI,K,Baja,Gris,Gris,Biology/Ecology
34,Suarez-Castillo AN,2014,UABCS,K,Baja,Tesis,Gris,Biology/Ecology
35,Riosmena-Rodriguez R,2007,UABCS,K,Baja,Gris,Gris,Biology/Ecology
36,Foster MS,2013,Moss Landing Marine Labs,K,C,Gris,Gris,Biology/Ecology
37,California Senate Office of Research,2018,Cal Gov,K,C,Gris,Gris,Management
